Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

02:28:13 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:28:14 PM  1000     68099   59.00   16.00    0.00    3.00   75.00     6  server-bin
02:28:15 PM  1000     68099  146.00   20.00    0.00    1.00  166.00     2  server-bin
02:28:16 PM  1000     68099  224.00    7.00    0.00    2.00  231.00     6  server-bin
02:28:17 PM  1000     68099  221.00    4.00    0.00    1.00  225.00     3  server-bin
02:28:18 PM  1000     68099  210.00    4.00    0.00    0.00  214.00     6  server-bin
02:28:19 PM  1000     68099  193.00    4.00    0.00    0.00  197.00     0  server-bin
02:28:20 PM  1000     68099  198.00    3.00    0.00    1.00  201.00     2  server-bin
02:28:21 PM  1000     68099  188.00    4.00    0.00    0.00  192.00     5  server-bin
02:28:22 PM  1000     68099  317.00    7.00    0.00    0.00  324.00     5  server-bin
02:28:23 PM  1000     68099   28.00    1.00    0.00    1.00   29.00     5  server-bin
02:28:24 PM  1000     68099   24.00    1.00    0.00    0.00   25.00     5  server-bin
Average:     1000     68099  164.36    6.45    0.00    0.82  170.82     -  server-bin
