Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:31:58 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:31:59 PM  1000    340858   15.00    0.00    0.00    0.00   15.00     2  scs-0015-http-r
04:32:00 PM  1000    340858   17.00    1.00    0.00    0.00   18.00     2  scs-0015-http-r
04:32:01 PM  1000    340858   16.00    0.00    0.00    0.00   16.00     2  scs-0015-http-r
04:32:02 PM  1000    340858   16.00    0.00    0.00    0.00   16.00     2  scs-0015-http-r
04:32:03 PM  1000    340858   16.00    0.00    0.00    0.00   16.00     2  scs-0015-http-r
04:32:04 PM  1000    340858   15.00    1.00    0.00    0.00   16.00     2  scs-0015-http-r
04:32:05 PM  1000    340858   16.00    0.00    0.00    0.00   16.00     2  scs-0015-http-r
04:32:06 PM  1000    340858   14.00    1.00    0.00    0.00   15.00     2  scs-0015-http-r
04:32:07 PM  1000    340858   13.00    0.00    0.00    0.00   13.00     2  scs-0015-http-r
Average:     1000    340858   15.33    0.33    0.00    0.00   15.67     -  scs-0015-http-r
