Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:32:08 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:32:09 PM  1000    341221   17.00    0.00    0.00    0.00   17.00     3  scs-0015-http-r
04:32:10 PM  1000    341221   16.00    1.00    0.00    0.00   17.00     3  scs-0015-http-r
04:32:11 PM  1000    341221   20.00    1.00    0.00    0.00   21.00     3  scs-0015-http-r
04:32:12 PM  1000    341221   19.00    0.00    0.00    0.00   19.00     3  scs-0015-http-r
04:32:13 PM  1000    341221   16.00    1.00    0.00    0.00   17.00     3  scs-0015-http-r
04:32:14 PM  1000    341221   17.00    1.00    0.00    0.00   18.00     3  scs-0015-http-r
04:32:15 PM  1000    341221   15.00    0.00    0.00    0.00   15.00     3  scs-0015-http-r
04:32:16 PM  1000    341221   19.00    0.00    0.00    0.00   19.00     3  scs-0015-http-r
04:32:17 PM  1000    341221   19.00    1.00    0.00    0.00   20.00     3  scs-0015-http-r
Average:     1000    341221   17.56    0.56    0.00    0.00   18.11     -  scs-0015-http-r
