Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:32:19 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:32:20 PM  1000    341556   17.00    1.00    0.00    0.00   18.00     1  scs-0015-http-r
04:32:21 PM  1000    341556   21.00    1.00    0.00    0.00   22.00     4  scs-0015-http-r
04:32:22 PM  1000    341556   19.00    0.00    0.00    0.00   19.00     4  scs-0015-http-r
04:32:23 PM  1000    341556   17.00    1.00    0.00    0.00   18.00     1  scs-0015-http-r
04:32:24 PM  1000    341556   20.00    1.00    0.00    0.00   21.00     7  scs-0015-http-r
04:32:25 PM  1000    341556   21.00    1.00    0.00    0.00   22.00     6  scs-0015-http-r
04:32:26 PM  1000    341556   17.00    0.00    0.00    0.00   17.00     5  scs-0015-http-r
04:32:27 PM  1000    341556   18.00    0.00    0.00    0.00   18.00     2  scs-0015-http-r
04:32:28 PM  1000    341556   17.00    1.00    0.00    0.00   18.00     2  scs-0015-http-r
Average:     1000    341556   18.56    0.67    0.00    0.00   19.22     -  scs-0015-http-r
