Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:32:29 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:32:30 PM  1000    341885   51.00   24.00    0.00    0.00   75.00     3  scs-0015-http-r
04:32:31 PM  1000    341885  132.00   22.00    0.00    0.00  154.00     3  scs-0015-http-r
04:32:32 PM  1000    341885  170.00   14.00    0.00    0.00  184.00     3  scs-0015-http-r
04:32:33 PM  1000    341885  170.00   10.00    0.00    0.00  180.00     3  scs-0015-http-r
04:32:34 PM  1000    341885  175.00    8.00    0.00    0.00  183.00     3  scs-0015-http-r
04:32:35 PM  1000    341885  173.00    8.00    0.00    0.00  181.00     3  scs-0015-http-r
04:32:36 PM  1000    341885  459.00    4.00    0.00    0.00  463.00     3  scs-0015-http-r
04:32:37 PM  1000    341885   19.00    1.00    0.00    0.00   20.00     3  scs-0015-http-r
04:32:38 PM  1000    341885   14.00    6.00    0.00    0.00   20.00     3  scs-0015-http-r
Average:     1000    341885  151.44   10.78    0.00    0.00  162.22     -  scs-0015-http-r
