Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:32:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:32:41 PM  1000    342331   52.00   23.00    0.00    0.00   75.00     7  scs-0015-http-r
04:32:42 PM  1000    342331  128.00   22.00    0.00    0.00  150.00     7  scs-0015-http-r
04:32:43 PM  1000    342331  178.00   12.00    0.00    0.00  190.00     7  scs-0015-http-r
04:32:44 PM  1000    342331  179.00    9.00    0.00    0.00  188.00     7  scs-0015-http-r
04:32:45 PM  1000    342331  170.00    8.00    0.00    0.00  178.00     7  scs-0015-http-r
04:32:46 PM  1000    342331  178.00    9.00    0.00    0.00  187.00     7  scs-0015-http-r
04:32:47 PM  1000    342331  452.00    6.00    0.00    0.00  458.00     7  scs-0015-http-r
04:32:48 PM  1000    342331    0.00    1.00    0.00    0.00    1.00     7  scs-0015-http-r
04:32:49 PM  1000    342331    0.00    0.00    0.00    0.00    0.00     7  scs-0015-http-r
Average:     1000    342331  148.56   10.00    0.00    0.00  158.56     -  scs-0015-http-r
