Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:32:51 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:32:52 PM  1000    342755   52.00   25.00    0.00    0.00   77.00     6  scs-0015-http-r
04:32:53 PM  1000    342755  135.00   22.00    0.00    0.00  157.00     6  scs-0015-http-r
04:32:54 PM  1000    342755  180.00   12.00    0.00    0.00  192.00     6  scs-0015-http-r
04:32:55 PM  1000    342755  179.00    8.00    0.00    0.00  187.00     6  scs-0015-http-r
04:32:56 PM  1000    342755  187.00    8.00    0.00    0.00  195.00     6  scs-0015-http-r
04:32:57 PM  1000    342755  179.00    9.00    0.00    0.00  188.00     6  scs-0015-http-r
04:32:58 PM  1000    342755  459.00    5.00    0.00    0.00  464.00     6  scs-0015-http-r
04:32:59 PM  1000    342755    9.00    0.00    0.00    0.00    9.00     6  scs-0015-http-r
04:33:00 PM  1000    342755   12.00    4.00    0.00    0.00   16.00     6  scs-0015-http-r
Average:     1000    342755  154.67   10.33    0.00    0.00  165.00     -  scs-0015-http-r
