Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

05:34:02 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:34:03 PM  1000    390518    6.00    4.00    0.00    0.00   10.00     4  scs-0015-mjpeg-
05:34:04 PM  1000    390518    1.00    0.00    0.00    0.00    1.00     4  scs-0015-mjpeg-
05:34:05 PM  1000    390518    0.00    0.00    0.00    0.00    0.00     4  scs-0015-mjpeg-
05:34:06 PM  1000    390518    0.00    1.00    0.00    0.00    1.00     4  scs-0015-mjpeg-
05:34:07 PM  1000    390518    0.00    0.00    0.00    0.00    0.00     4  scs-0015-mjpeg-
05:34:08 PM  1000    390518    0.00    1.00    0.00    0.00    1.00     4  scs-0015-mjpeg-
05:34:09 PM  1000    390518   57.00    2.00    0.00    0.00   59.00     4  scs-0015-mjpeg-
05:34:10 PM  1000    390518   13.00    1.00    0.00    0.00   14.00     4  scs-0015-mjpeg-
05:34:11 PM  1000    390518   12.00    1.00    0.00    0.00   13.00     4  scs-0015-mjpeg-
Average:     1000    390518    9.89    1.11    0.00    0.00   11.00     -  scs-0015-mjpeg-
