Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

05:35:56 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
05:35:57 PM  1000    393103   16.83    0.00    0.00    0.00   16.83     5  scs-0015-mjpeg-
05:35:58 PM  1000    393103   17.00    1.00    0.00    0.00   18.00     5  scs-0015-mjpeg-
05:35:59 PM  1000    393103   53.00   27.00    0.00    0.00   80.00     5  scs-0015-mjpeg-
05:36:00 PM  1000    393103  170.00   24.00    0.00    0.00  194.00     5  scs-0015-mjpeg-
05:36:01 PM  1000    393103  169.00   11.00    0.00    0.00  180.00     5  scs-0015-mjpeg-
05:36:02 PM  1000    393103  172.00    9.00    0.00    0.00  181.00     5  scs-0015-mjpeg-
05:36:03 PM  1000    393103  174.00    9.00    0.00    0.00  183.00     5  scs-0015-mjpeg-
05:36:04 PM  1000    393103  191.00   11.00    0.00    0.00  202.00     5  scs-0015-mjpeg-
05:36:05 PM  1000    393103  475.00    6.00    0.00    0.00  481.00     5  scs-0015-mjpeg-
Average:     1000    393103  159.60   10.88    0.00    0.00  170.48     -  scs-0015-mjpeg-
