Linux 6.8.0-107-generic (f) 	04/14/2026 	_x86_64_	(8 CPU)

04:45:35 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
04:45:36 PM  1000    321005  221.00    5.00    0.00    0.00  226.00     4  screencast-stud
04:45:37 PM  1000    321005  248.00    3.00    0.00    0.00  251.00     4  screencast-stud
04:45:38 PM  1000    321005  291.00    3.00    0.00    0.00  294.00     4  screencast-stud
04:45:39 PM  1000    321005  452.00    4.00    0.00    0.00  456.00     4  screencast-stud
04:45:40 PM  1000    321005  449.00    7.00    0.00    0.00  456.00     4  screencast-stud
04:45:41 PM  1000    321005  472.00    9.00    0.00    0.00  481.00     4  screencast-stud
04:45:42 PM  1000    321005  552.48    6.93    0.00    0.00  559.41     4  screencast-stud
04:45:43 PM  1000    321005  508.00    8.00    0.00    0.00  516.00     4  screencast-stud
04:45:44 PM  1000    321005  563.00    8.00    0.00    0.00  571.00     4  screencast-stud
04:45:45 PM  1000    321005  511.00    7.00    0.00    0.00  518.00     4  screencast-stud
Average:     1000    321005  426.87    6.09    0.00    0.00  432.97     -  screencast-stud
